id,age,job,marital,education,default,housing,loan,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,subscription
25,55,blue-collar,married,basic.4y,,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
26,50,management,married,university.degree,,no,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
27,45,services,married,high.school,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
28,25,technician,single,university.degree,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
29,47,entrepreneur,married,university.degree,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
30,42,blue-collar,married,basic.6y,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
31,42,blue-collar,married,basic.6y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
32,37,admin.,married,university.degree,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
33,56,admin.,married,basic.9y,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
34,44,blue-collar,single,basic.4y,,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
35,57,,married,,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
36,41,blue-collar,divorced,basic.4y,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,yes
37,55,technician,married,university.degree,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
38,33,services,married,high.school,,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
39,42,blue-collar,married,basic.9y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
40,50,blue-collar,married,basic.4y,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
41,38,admin.,married,high.school,,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
42,38,technician,single,university.degree,no,no,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
43,31,admin.,divorced,high.school,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
44,41,management,married,basic.6y,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
45,39,admin.,married,university.degree,no,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
46,34,admin.,married,high.school,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
47,57,,married,,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
48,60,admin.,married,,,no,yes,2,,0,,1.1,93.994,-36.4,4.857,5191,no
49,42,blue-collar,married,basic.6y,no,no,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
50,42,management,married,university.degree,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
51,37,technician,single,professional.course,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
52,52,admin.,divorced,university.degree,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
53,43,services,single,high.school,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
54,35,admin.,married,high.school,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
55,42,entrepreneur,married,,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
56,37,management,married,university.degree,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
57,52,admin.,divorced,university.degree,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
58,57,blue-collar,divorced,,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
59,56,admin.,married,,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
60,49,blue-collar,divorced,high.school,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
61,32,admin.,married,university.degree,no,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
62,50,admin.,married,basic.6y,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
63,37,blue-collar,married,basic.6y,no,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
64,39,housemaid,married,basic.4y,,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
65,53,blue-collar,married,basic.4y,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
66,42,blue-collar,married,basic.4y,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
67,42,blue-collar,married,basic.4y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
68,35,admin.,single,high.school,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
69,60,blue-collar,married,basic.9y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
70,39,services,divorced,high.school,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
71,56,entrepreneur,married,,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
72,40,blue-collar,married,,no,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
73,36,blue-collar,married,basic.9y,no,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
74,51,blue-collar,married,,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
75,51,blue-collar,married,,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
76,42,blue-collar,married,basic.9y,,no,no,3,,0,,1.1,93.994,-36.4,4.857,5191,no
77,39,services,divorced,high.school,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
78,38,services,married,high.school,no,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
79,56,admin.,divorced,,,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
80,40,blue-collar,married,,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
81,43,blue-collar,married,high.school,,no,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
82,45,technician,married,university.degree,no,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
83,44,services,married,high.school,no,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
84,28,services,married,high.school,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
85,34,technician,married,high.school,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
86,36,admin.,married,university.degree,no,yes,no,3,,0,,1.1,93.994,-36.4,4.857,5191,no
87,51,technician,married,basic.6y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
88,54,retired,married,high.school,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
89,49,blue-collar,married,basic.4y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
90,45,management,divorced,university.degree,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
91,48,blue-collar,married,basic.4y,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
92,37,admin.,married,high.school,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
93,34,blue-collar,single,basic.9y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
94,43,blue-collar,married,basic.6y,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
95,33,services,married,high.school,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
96,32,services,single,basic.6y,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
97,39,blue-collar,married,high.school,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
98,35,student,single,university.degree,,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
99,35,student,single,university.degree,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
100,55,housemaid,divorced,university.degree,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
101,59,admin.,married,university.degree,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
102,57,retired,married,,,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
103,30,blue-collar,single,,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
104,30,blue-collar,single,,no,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
105,50,housemaid,married,basic.4y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
106,40,services,married,high.school,no,no,no,3,,0,,1.1,93.994,-36.4,4.857,5191,no
107,35,admin.,married,high.school,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
108,43,technician,married,,,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
109,36,services,single,basic.6y,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
110,46,technician,married,basic.4y,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
111,42,technician,married,university.degree,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
112,39,admin.,married,professional.course,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
113,50,services,divorced,professional.course,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
114,52,self-employed,married,university.degree,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
115,56,blue-collar,married,basic.4y,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
116,57,retired,married,high.school,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
117,34,management,married,university.degree,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
118,34,services,single,basic.9y,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
119,32,technician,single,professional.course,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
120,36,technician,single,high.school,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
121,41,blue-collar,married,basic.4y,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
122,51,services,married,basic.6y,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
123,53,services,married,high.school,no,yes,yes,3,,0,,1.1,93.994,-36.4,4.857,5191,no
124,33,admin.,married,high.school,no,no,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
125,27,blue-collar,single,basic.6y,no,,,1,,0,,1.1,93.994,-36.4,4.857,5191,no
126,42,technician,married,high.school,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
127,42,admin.,married,university.degree,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
128,34,self-employed,single,university.degree,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
129,31,student,single,university.degree,,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
130,54,management,divorced,university.degree,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
131,40,self-employed,married,basic.4y,,no,no,3,,0,,1.1,93.994,-36.4,4.857,5191,no
132,49,housemaid,married,basic.9y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
133,49,housemaid,single,high.school,,yes,yes,2,,0,,1.1,93.994,-36.4,4.857,5191,no
134,50,blue-collar,married,basic.9y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
135,34,services,married,high.school,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
136,55,blue-collar,married,basic.4y,,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
137,51,retired,married,professional.course,no,no,no,3,,0,,1.1,93.994,-36.4,4.857,5191,no
138,56,technician,married,basic.4y,no,yes,no,3,,0,,1.1,93.994,-36.4,4.857,5191,no
139,36,blue-collar,married,basic.9y,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
140,42,blue-collar,divorced,basic.9y,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
141,44,blue-collar,divorced,basic.6y,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
142,37,admin.,single,high.school,no,yes,yes,2,,0,,1.1,93.994,-36.4,4.857,5191,no
143,36,services,married,high.school,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
144,53,technician,divorced,professional.course,,no,yes,2,,0,,1.1,93.994,-36.4,4.857,5191,no
145,37,technician,single,professional.course,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
146,35,services,divorced,high.school,no,no,no,3,,0,,1.1,93.994,-36.4,4.857,5191,no
147,59,retired,married,professional.course,,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
148,40,admin.,married,basic.6y,,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
149,57,housemaid,divorced,basic.4y,no,yes,yes,2,,0,,1.1,93.994,-36.4,4.857,5191,no
150,42,admin.,married,university.degree,no,yes,no,3,,0,,1.1,93.994,-36.4,4.857,5191,no
151,54,management,divorced,university.degree,no,yes,no,3,,0,,1.1,93.994,-36.4,4.857,5191,no
152,27,admin.,single,university.degree,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
153,36,admin.,married,high.school,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
154,40,management,married,university.degree,,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
155,34,admin.,single,basic.9y,,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
156,33,admin.,divorced,high.school,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
157,56,retired,married,basic.6y,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
158,42,technician,single,,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
159,35,blue-collar,married,basic.9y,,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
160,29,services,single,high.school,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
161,36,blue-collar,married,basic.9y,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
162,50,self-employed,single,university.degree,no,no,yes,5,,0,,1.1,93.994,-36.4,4.857,5191,no
163,49,entrepreneur,married,high.school,no,yes,no,4,,0,,1.1,93.994,-36.4,4.857,5191,no
164,42,technician,single,professional.course,,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
165,36,blue-collar,single,high.school,no,yes,yes,3,,0,,1.1,93.994,-36.4,4.857,5191,no
166,55,blue-collar,married,basic.9y,,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
167,41,management,married,university.degree,,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
168,32,services,single,high.school,no,yes,no,3,,0,,1.1,93.994,-36.4,4.857,5191,no
169,57,,married,,,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
170,58,blue-collar,divorced,basic.4y,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
171,41,blue-collar,single,basic.9y,,yes,no,4,,0,,1.1,93.994,-36.4,4.857,5191,no
172,57,blue-collar,married,basic.4y,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
173,48,blue-collar,married,basic.6y,,no,no,3,,0,,1.1,93.994,-36.4,4.857,5191,no
174,38,management,married,university.degree,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
175,32,blue-collar,married,basic.9y,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
176,58,entrepreneur,married,basic.4y,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
177,36,technician,married,university.degree,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
178,43,services,married,high.school,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
179,38,admin.,single,university.degree,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
180,49,admin.,married,university.degree,no,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
181,30,blue-collar,single,,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
182,33,admin.,married,basic.9y,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
183,59,management,married,basic.4y,,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
184,59,management,married,basic.4y,,,,1,,0,,1.1,93.994,-36.4,4.857,5191,no
185,28,,single,,,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,yes
186,50,management,married,high.school,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
187,35,admin.,married,university.degree,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
188,36,technician,married,professional.course,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
189,41,self-employed,married,university.degree,no,yes,yes,2,,0,,1.1,93.994,-36.4,4.857,5191,no
190,42,blue-collar,married,basic.9y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
191,48,services,married,high.school,,,,1,,0,,1.1,93.994,-36.4,4.857,5191,no
192,31,blue-collar,married,high.school,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
193,42,blue-collar,married,basic.9y,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
194,41,admin.,married,high.school,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
195,55,technician,married,basic.4y,no,no,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
196,45,entrepreneur,married,basic.4y,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
197,27,services,married,high.school,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
198,34,technician,single,university.degree,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
199,57,blue-collar,married,basic.4y,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
200,43,entrepreneur,married,basic.4y,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
201,49,blue-collar,married,basic.4y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
202,38,blue-collar,married,basic.4y,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
203,49,blue-collar,married,basic.9y,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
204,58,management,married,basic.6y,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
205,50,,married,,,yes,no,3,,0,,1.1,93.994,-36.4,4.857,5191,no
206,30,self-employed,single,university.degree,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
207,46,housemaid,married,basic.9y,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
208,35,blue-collar,married,professional.course,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
209,47,admin.,divorced,university.degree,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
210,46,management,married,,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
211,40,technician,married,professional.course,,no,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
212,26,housemaid,married,university.degree,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
213,32,blue-collar,divorced,basic.9y,,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
214,45,management,married,university.degree,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
215,47,blue-collar,married,,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
216,57,technician,married,basic.4y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
217,38,blue-collar,married,basic.4y,no,no,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
218,57,technician,married,basic.4y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
219,60,management,married,university.degree,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
220,48,admin.,married,university.degree,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
221,40,admin.,married,high.school,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
222,48,unemployed,single,basic.4y,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
223,54,housemaid,married,basic.4y,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
224,40,blue-collar,married,basic.6y,no,no,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
225,44,admin.,single,basic.9y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
226,42,technician,divorced,high.school,no,no,no,4,,0,,1.1,93.994,-36.4,4.857,5191,no
227,52,self-employed,married,university.degree,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
228,44,admin.,married,high.school,no,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
229,39,management,married,basic.6y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
230,57,management,married,professional.course,,yes,no,3,,0,,1.1,93.994,-36.4,4.857,5191,no
231,42,technician,single,professional.course,,,,1,,0,,1.1,93.994,-36.4,4.857,5191,no
232,44,blue-collar,married,basic.9y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
233,59,,married,,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
234,57,retired,married,university.degree,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
235,41,management,married,,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
236,35,technician,married,professional.course,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
237,45,housemaid,married,professional.course,,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
238,56,technician,married,,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
239,34,technician,married,university.degree,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
240,41,services,married,basic.9y,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
241,35,admin.,divorced,university.degree,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
242,53,admin.,married,professional.course,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
243,51,admin.,married,basic.6y,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
244,56,entrepreneur,married,university.degree,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
245,33,admin.,married,basic.9y,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
246,51,services,divorced,high.school,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
247,40,technician,single,university.degree,no,no,no,3,,0,,1.1,93.994,-36.4,4.857,5191,no
248,60,,single,,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
249,33,technician,married,university.degree,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
250,43,entrepreneur,married,high.school,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
251,50,services,married,basic.9y,no,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
252,59,entrepreneur,married,high.school,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
253,42,housemaid,single,basic.4y,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
254,52,blue-collar,married,basic.4y,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
255,42,blue-collar,married,,,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
256,42,admin.,married,,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
257,40,management,married,basic.9y,,,,1,,0,,1.1,93.994,-36.4,4.857,5191,no
258,38,blue-collar,married,basic.9y,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
259,38,admin.,married,high.school,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
260,30,services,single,high.school,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
261,35,blue-collar,married,basic.9y,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
262,41,technician,married,high.school,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
263,33,self-employed,married,university.degree,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
264,36,blue-collar,single,basic.9y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
265,57,technician,married,professional.course,,no,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
266,30,self-employed,single,high.school,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
267,43,admin.,married,professional.course,no,yes,yes,2,,0,,1.1,93.994,-36.4,4.857,5191,no
268,34,admin.,single,university.degree,no,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
269,39,admin.,single,university.degree,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
270,39,blue-collar,married,basic.9y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
271,57,retired,married,university.degree,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
272,40,technician,married,basic.4y,no,no,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
273,39,blue-collar,married,basic.6y,,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
274,39,blue-collar,married,basic.6y,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
275,41,blue-collar,married,basic.4y,no,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
276,35,admin.,divorced,university.degree,no,,,1,,0,,1.1,93.994,-36.4,4.857,5191,no
277,36,technician,married,,no,no,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
278,23,admin.,single,university.degree,no,no,no,3,,0,,1.1,93.994,-36.4,4.857,5191,no
279,49,entrepreneur,married,professional.course,no,,,2,,0,,1.1,93.994,-36.4,4.857,5191,no
280,36,technician,married,professional.course,no,,,2,,0,,1.1,93.994,-36.4,4.857,5191,no
281,51,blue-collar,married,basic.9y,,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
